blockNumber,timestamp,size,difficulty,transactionCount,internalTxCntSimple,internalTxCntAdvanced,erc20TxCnt,erc721TxCnt,minerAddress,minerExtra,gasLimit,gasUsed,minGasPrice,maxGasPrice,avgGasPrice,txFee
11000080,1601959086,34144,3.330495e+15,153,55,512,145,5,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12506096,12497683,38000000000,245767460103,55828042432.55556,631638501456537137
11000081,1601959099,40238,3.330495e+15,192,45,408,188,4,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x737069646572303204014f56,12493885,12474087,38000000000,250000000000,54241853079.265625,644271989970872894
11000082,1601959125,44621,3.330495e+15,237,30,411,130,0,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12500000,12421805,44000000000,900000000000,72951076258.64557,770330974210864695
11000083,1601959145,39206,3.328869e+15,149,92,423,139,5,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12505990,12494519,38000000000,90000000000,43605704967.120804,554384865827171778
11000084,1601959147,36566,3.330494e+15,190,42,648,181,3,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d61736961312d33,12493779,12478699,44000000000,672000000000,65379692186.64737,778993605426381555
11000085,1601959175,40768,3.327242e+15,210,33,535,191,2,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d77657374342d312d67657468,12500000,12490264,42000001459,170000000000,61041408253.37619,733574736097608760
11000086,1601959194,46496,3.325617e+15,228,27,365,173,2,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303037,12506090,12493862,44000000000,500000000000,62735528141.5921,734556490139302015
11000087,1601959211,27763,3.325617e+15,143,47,502,133,1,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc010a,12493879,12486292,40000000000,100000000000,47920877698.16783,565883971627216233
11000088,1601959225,22949,3.325617e+15,106,30,565,132,8,0xc4aeb20798368c48b27280847e187bb332b9bc77,0x45617379326d696e652d53682d476574682d31000123de,12481679,12465609,37000002694,114300004377,42604245700.50944,495927545446625809
11000089,1601959230,53237,3.327241e+15,299,27,368,255,1,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d65752d6e6f727468312d332d67657468,12493867,12483528,38000001459,800000000000,57905089173.97324,680647468280071180
11000090,1601959239,32109,3.327241e+15,177,25,338,128,4,0x8595dd9e0438640b5e1254f9df579ac12a86865f,0x657a696c2e6d65,12481667,12469442,41000000000,111000000000,56313996209.57062,666006379746327981
11000091,1601959258,46781,3.325617e+15,285,33,379,159,2,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303035,12493855,12487804,41000000000,250000000000,57898232973.02807,708191072005382507
11000092,1601959283,18181,3.323993e+15,87,20,537,124,11,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,0x7575706f6f6c2e636e2d32,12481655,12479176,5000000000,52000000000,37477514052.793106,486092563728109392
11000093,1601959287,34699,3.325616e+15,173,25,573,146,4,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,0x73757065726e6f64652d6465,12493843,12486072,37000001459,200000000000,54081318052.0,636891531470398765
11000094,1601959299,32712,3.325616e+15,115,29,588,88,5,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12500000,12480539,37000001459,240700001605,49778899557.53043,554425895236256805
11000095,1601959304,35251,3.328863e+15,160,64,408,118,1,0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,0x66697265706f6f6c2e636f6d2f6237,12487794,12471531,38000001459,250000000000,56120808654.21875,644167270167138603
11000096,1601959312,18952,3.330489e+15,88,32,684,104,8,0x99c85bb64564d9ef9a99621301f22c9993cb89e3,0x626565706f6f6c2e6f72675f33,12499988,12481596,37000000000,160000000000,43319521639.96591,484188090428747647
11000097,1601959323,44631,3.330489e+15,181,46,527,169,3,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x65746865726d696e652d61736961312d35,12487782,12478669,37000001459,175000000000,44806512477.723755,538790108003483105
11000098,1601959330,40745,3.332115e+15,216,40,496,205,0,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,0x737069646572303307508cb4,12475588,12438546,52000000000,910000000000,78857145844.23148,1042715352420642154
11000099,1601959396,49375,3.322353e+15,217,50,431,184,0,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x6574682d70726f2d687a6f2d74303036,12487770,12482757,45000000000,87000000000,50664334131.889404,634165015821480739
11000100,1601959401,35380,3.323975e+15,168,83,794,176,2,0x45a36a8e118c37e4c47ef4ab827a7c9e579e11e2,0x4d696e656420427920416e74506f6f6c20303032,12475576,12462904,41000000000,300000000000,48990764823.14286,618627536030747205
11000101,1601959408,35311,3.325598e+15,186,29,398,146,2,0x829bd824b016326a401d083b33d092293333a830,0x7070796520e4b883e5bda9e7a59ee4bb99e9b1bc010b,12463394,12452424,41000000000,127615526215,53616926406.82258,666025583198018115
